group_id,record_ids
294,62472;39054;14364;94524
295,62325;69662;35305
296,66239;34746;59064;3407;88018
297,56208
298,98579;28862
299,89887;28240
300,65496;8310
301,79775;60940;85812;69335
302,83897
303,76473
304,9843;83659;236;78118
305,29842
306,4034;50137;25636
307,486;33338;67106
308,52384
309,30874;42589;76260
310,47634;51348;40693;67576;57498
311,75414
312,42888
313,68881
314,78895
315,73181;69125;4694;53466
316,76155
317,15592;91641;18677
318,77264;12822;78048
319,43675
320,90976
321,39711;91903
322,47265;64660
323,47698
324,5718;66179
325,11924;71277
326,94530;64378
327,38531;22205;44035;18355;35015
328,78827;79796;61028;83172
329,77129
330,12155
331,61517;26748;70559;97191
332,65488
333,95710;6284;36147;53285
334,51971;93336
335,72796
336,65604
337,6032
338,780
339,50547;44087;55217;33467
340,70577;21355;58034
341,51242
342,33075;62603
343,37858;785
344,50267;45595
345,51350;44154;29559;27174;47643
346,7202
347,11162;55518;842;90776;28756
348,84968;61621;11222
349,22602
350,45844
351,14066;3635;23311;13591
352,63811
353,58366
354,24954;62211
355,52744;38360;83899
356,19497
357,2200
358,92804
359,63968
360,75460;25807
361,36691;51646;82603;29756
362,69715;90475
363,32664
364,38804;8891;72630;36269
365,40336;89239;99780
366,20846;73677;79485
367,13789;80472
368,72057;92005;7076;26487;66654
369,29376
370,82620
371,83187;71734;1460;58086
372,70781;21666;3084
373,1662
374,33673;79596;79413
375,91300;70974
376,39431;57700;66988
377,79159;55586;17765;74621
378,13033;39549;25665;97218
379,90303
380,88875
381,32811;88319
382,94865;54759
383,98325
384,8673
385,231
386,15550;17804;24759;91734;76801
387,61082;23447;31190
388,96444;67674;46053;71412
389,36536
390,52256
391,16050;14653;42733
392,38498;40210;5730
393,6673;32021;66921
394,46148;78512
395,60884;54571;36650;56991
396,93954
397,50929
398,3766;7408;44774;29427;84576
399,22439;14732;78738;70342
400,16668
401,73624;42549
402,98978
403,54035;10500
404,43204
405,78782
406,85981;78037;34192
407,2354
408,61949
409,2111;55364
410,70117;56684;2661;20013;73885;77132
411,4993;1797
412,88718;44646
413,74040
414,81470
415,54813;65241
416,98308;16852;57091;22654
417,96175
418,27958;83231;8026;61352
419,1441;48521
420,34822;90293;63909
421,50359;58781;56766;40564
422,56362
423,21649;59124;54175;47637
424,52831
425,48558
426,94330;56570;95561;52632;54175;73301
427,60805
428,78569;86283;55430;67942
429,43447;73143;39565
430,32609;76126;16538;62373;65139
431,77476;66260;69051
432,21927;54920;74061;7395
433,91434;51157;47461;52838
434,37375
435,57775;42841
436,68828;76460;86696
437,58782;18272;47554;55349
438,49863
439,81990;64923;77715;57545
440,27513
441,3546;95048
442,56561;96876;18366
443,38070;60159;65698;47016
444,16827;42051;34534;84553
445,23841
446,60495
447,97722
448,45762
449,16988
450,3550
451,42393
452,60610;20534
453,57250
454,88083;76268;77058;11641
455,51796
456,78514;54393
457,6380
458,59224;26775
459,43381;77116;33088;9680
460,42809;78201;56786
461,68123;16806;27119;99310
462,58187
463,15517
464,93727;81200
465,62970
466,38074
467,39797
468,80946;77841;52393
469,17575;6211
470,98549;33422
471,63258;88303
472,25143
473,18287
474,32993
475,92939
476,81371;99434;42472;77003;29765
477,7796;54296
478,75715
479,30594;49317;1520
480,34457;71043;12634;14814;23713
481,58857;7200
482,77057;62433
483,61850;20954
484,59612
485,85086
486,6625;53442
487,22945;18809
488,35502;51848;68470;73806
489,12218;94221;81999;45122;18359
490,36667
491,73913;33003;49039;67919;7377;50362
492,13763;14084;86355;28742
493,21856
494,77991
495,10220;98408;15892;2766
496,98927
497,55131
498,75650;99607;33207;3354
499,98808
500,13929;63556
501,32742
502,85913;14752
503,52344;65499;17053;29038
504,92270;35411;81985;14553
505,404
506,73825;46853;45269;12620
507,48809;9744;90973;37828;74345
508,12906;74515;47449
509,40419
510,43201;75066;20325
511,87408;98288
512,58090
513,6767;85578
514,36669;54702;72405
515,47981;85259;69342;68817
516,54863;57884;75005;39761
517,61439;84699
518,65917
519,70068
520,91162
521,92939;6642;76351
522,5639;32708;50299
523,56297;94409;6118;82292
524,25978
525,55776;11925;71791;58373;69675;2785
526,78674;9055
527,34211
528,24331
529,25413;525
530,36280
531,24750;61252;52009
532,69667;23962
533,59260;91777;70251;48031;69593;99067
534,61169;99286;52030;61892
535,65428
536,33733;8498;34335
537,76413;46025
538,67137;85146;18704;70214
539,42249
540,93517
541,2584;69770
542,91609;71960;76408
543,17723
544,27636;10449
545,72240;12306
546,60123
547,17624;32279
548,69487;9088;68372
549,58546;59977
550,65861;38883;32832;61422
551,75704
552,8042;7476;27964
553,28450;25307;72639
554,91874
555,79215
556,93561;90981
557,17436;32494;26447;91475;6807
558,32371;46960;2788
559,33200;14224
560,46247;93423
561,23797;80892;86375;44975
562,29966;29542
563,18055;92405
564,46795;70806
565,16067;11659;71938
566,4642;24255
567,83639
568,29597;18402
569,18520;63055
570,83237;64428;2126;87666
571,1918;34104
572,15721
573,51589
574,21778;46558;44463
575,52827
576,3054;5801
577,23794
578,36617
579,28051
580,25459;23139;37516
581,81689;7529;22032
582,22905
583,21218;99483
584,83992;40816
585,80624;1959
586,12660
587,73420
588,11422;26300;67043
589,15187;84567;81578;11600;59790
590,29825;15344
591,47293
592,41594
593,81893
594,46807
595,35493;99483;91211;46091;69226
596,48081;61822;23708;98138
597,62775
598,71265;99323;79422
599,90560;36572;70844;7390;36672;13077
600,93336;83882
601,48124
602,24997;96242;47488
603,73761;88402;16068
604,29318;93461
605,53244;68489;8340;47456;11373
606,36331
607,58457;37585;34348
608,8364;66642
609,3924
610,28571;68406;21239;49621;11971
611,56574;67443;57857
612,14566;81395;10969;28310
613,14954
614,81043
615,30501
616,21881;3355;40777;20610
617,30327;32157
618,30576
619,27893;70264;40089
620,70903
621,7867
622,65325
623,42446;77704;9654
624,2476;80699
625,53310
626,35955;68736
627,73222;66548;49079;62767;72419
628,72245;80956;21268
629,85831
630,47686
631,52517
632,7920
633,46087;7583
634,14234;26842;80163;20567;62162
635,89703
636,80001
637,68321
638,82430;81588;51137
639,64137
640,57841
641,71258;14593;88950;19775
642,74734
643,54622
644,37646;49854;99000;73725;87613
645,5969
646,31604
647,15296;90086
648,81288;41197;51288;34128
649,22144
650,22872
651,86043
652,61601
653,37817;64150;41527
654,6577;24298;52259;45914;87542
655,35665
656,96885
657,47564
658,42972;90782
659,54451;53138;50234;58568
660,90472
661,18227
662,92090;72948;65377;38436
663,42797
664,65979;84562;44006;83625;85349;78234
665,983;55499;99294;30400;82504
666,26026;84060;16385
667,61202
668,63346;40832;71756
669,13932
670,88643;95323
671,41844;82595;99876
672,21599;93325;99867;7033;30855
673,26114;38961;6320;57707
674,51211
675,19909;17242;27999
676,96973;68205;35513;23845
677,27714
678,92599
679,65644;31362
680,14304
681,34871
682,65498
683,1612;99142;17916
684,41698
685,56513
686,62561
687,27777
688,6287
689,61266
690,42858;53005
691,67571;83523
692,34729;88771;87563;19364
693,48160;83392;95880;54311;88022
694,47005
695,56066
696,26811
697,42258;2875
698,45835;78481;5698;76887
699,9146
700,66255
701,96856
702,34202;20463;64549;17271
703,1606
704,31750;11825
705,68136;214
706,10149
707,44153;60860;47171;99276;16510
708,8977
709,84761
710,15329;49698;28129;97685;51172
711,79755;5199;32647;76290
712,88993
713,21985;88169;51574
714,55083;69156;33856;25674;88739
715,46832;91055;25534;82142;18617;96427
716,47169;39515
717,80875
718,7072
719,83244
720,90747
721,28793;99992;41660;49071
722,62928;70586;89726
723,24953
724,12778;4399;89396;35404
725,43518;6228;23263
726,55929
727,18319
728,87642
729,53885
730,51334
731,65295
732,83953
733,89139;41835
734,79256;11038
735,8006;61450;20306;43696;62636
736,73161;4687;93380
737,29049
738,52058
739,54845
740,89303
741,38260;81228;8697
742,15879;76821;62519;31686;80280
743,37701
744,60116;58395
745,27013;59074;64215
746,40355
747,40043
748,48834
749,72298;44226
750,88732
751,71300;72135;83636;79644
752,69880
753,30829
754,15685;36122;84616
755,93422
756,64284;74066;96377
757,55584;60207;32479;36118
758,79755;35500;83074
759,62817;18368;93662
760,19797
761,45197
762,65403;90519;77465;86322;30249
763,18246;55303
764,35532;34869;93746;8635;71031
765,69803
766,67843;24312;39022;89978
767,64221
768,88250;33920;96101;21355
769,13339
770,63124;45518;68978
771,89786
772,72265
773,78008;69811;7544;47226;780
774,82563
775,70708;53559;61561;51774;41064
776,1464
777,34721
778,30665;13900;41713
779,11369;45997;96241
780,65655;58233;38054
781,9751
782,63302
783,41628;82825;81453
784,46111
785,78675;73997;55126
786,37094;11639
787,19887
788,97527;96673;48237;48797
789,24547;30463;57568;1666
790,79955;674
791,40299;63529;63267
792,42451
793,42763;46534;85833
794,76014
795,14730
796,75330
797,98811
798,77851
799,94248
800,53385;16728;38675;96588
801,4634
802,52886;5049;10006
803,42602;42273;37699
804,20196;20768
805,67353;27892;1344
806,59631;12008;15668;38429
807,75103;87998;48204;13331;2951;23383
808,51870;84006;69679;69911
809,37290;78359
810,68023;38223
811,44081
812,72751;63219;23856;61592
813,79993;2469;50688;37602;62137
814,28413;68670
815,77383;18504;41073
816,41877
817,46726;56746;19522
818,10522;68178
819,65871
820,981
821,92211;54039;94822;69826;68542
822,44409;38947
823,41515;33790
824,59582;6617;48666
825,21049;73267;14046;72172;73850
826,57208;8062
827,97799;15522;36010;75456
828,66866
829,70434
830,11018;1138;46384
831,11334;95021;58577;26410
832,82447;73025;45745
833,43837;56658;7790
834,98365;67612;8593;29415;65227
835,9015;94505;79842
836,38865
837,86646;20290;93909
838,3108;51014;20598;28565
839,76331
840,89421
841,69402;15220
842,53555
843,83665
844,63024;44508;98886
845,75019;99619
846,921;5802
847,77438;5971
848,99528
849,81522;76582;45151
850,55022;76071;586;35263
851,53827
852,71227
853,20146;11734;16215;72197
854,59125
855,49987
856,25908;27240;40213
857,69434;22380
858,90931;37630
859,45052
860,28932
861,18597;75318;88352
862,51873
863,70316;64971;19733
864,17060
865,43689
866,81249;23292;50529
867,82464;62972
868,67469;60804;46543;19509;36002
869,68604
870,31807;45084;33861
871,88096
872,55922
873,43495
874,92077
875,90364
876,1700
877,95458;24288;98941;64707
878,64041;92916;50512
879,22617;6770
880,19985
881,16158;61020;88597;86230
882,84330;34728
883,44082
884,8457;22215;67504;69242;66564
885,79569;7843;36828;1190
886,43848
887,91708;65970;83430
888,59180
889,65233
890,84857;77960
891,65032
892,30686;76425;35335;99394
893,31766;41382
894,10461
895,71189
896,46984
897,16448
898,12800;82903;43511
899,96114;12556;29089
900,97811
901,12765
902,4623;51107;82055
903,78581;78571;22140;54778;82389
904,95889;15419;85768
905,91547
906,26577;79176;52937
907,60100;4852;12558;71958;8428;25028
908,29589
909,69182;10022
910,6564
911,65442
912,3698;63123;34812;50337
913,32326;61391;61317;86580;99429
914,11191
915,18027
916,85473;67895;64545;25869;74529
917,36486;2545;27249
918,75879;91905;21077
919,91878;39238;64016
920,97717;29961
921,7911;71852
922,56243;24802;6844;68901;51437;28266
923,72268
924,60564
925,81405;33114;19019
926,59551;59635;84419
927,45560;36214;25624
928,80152;54761
929,25674
930,33574
931,86938
932,76110
933,82202
934,43305
935,27392;61214;38674;66478
936,91426;85502
937,57128
938,11332
939,2130
940,70628
941,52100;2658;97195
942,15163;92782;53280
943,27416
944,90178
945,27952
946,50196
947,46511
948,92517
949,93894
950,7080;23355;3376;9935;41611
951,77571
952,34466;11239
953,15006
954,73297;4157;60105;6670;1849
955,64587
956,36
957,73226;18085;98842
958,78817
959,44871
960,11631
961,9816
962,15016;82889
963,64022;98110
964,15225;67124;38233
965,33450;75263;55393;96981
966,66372
967,7653
968,97747;81761;18741
969,75076
970,16641
971,55822
972,99854;47842
973,64074
974,93579
975,63560
976,40481
977,36874;60315
978,32935;15650;65267
979,86652;39356;6498
980,37812
981,94402;50130
982,20172;75531
983,52973
984,49687;50363
985,26066;91420;64763
986,52284;93363;2667
987,1662;39517;48964;33925;85867
988,76784
989,14349;74099;55017
990,88094
991,26656;92621
992,33592
993,21299;43582;61197
994,63080
995,71428;92794
996,88988;69011;23609;38381;33582;5498
997,75923
998,13995
999,21693
1000,13114
1001,6537
1002,63797
1003,85419;56266;91385
1004,90621
1005,26363
1006,83947
1007,64438;13135;70015
1008,64376;29347
1009,60482
1010,83064;73920;69186
1011,99814
1012,46217;5262;22884;2755;90632
1013,14841
1014,38937;68495;19199
1015,66406;47410;31339;79300;36132
1016,79299
1017,25919;22483
1018,11411;22400;15723
1019,32446;38839;71797;77459
1020,90376
1021,53366;87514;33180;54073;12514
1022,8484;65241
1023,59418
1024,58591
1025,19790;86865
1026,22511;98576
1027,41388
1028,47913
1029,31791;50097
1030,54679;17530;76607;84788
1031,82655
1032,19860
1033,38298;26475;99859
1034,11955;20213;83378;27923
1035,24003;32971;48448
1036,88885;42704;43906;95692;6389
1037,82071;72387;3756
1038,54172;3185
1039,61967;68227;3990
1040,73408;65595;65087;46119;26810
1041,17990;27221
1042,6322;45739
1043,74134
1044,92475;54305;53664;1816
1045,46526;62892
1046,41944;31114
1047,84463
1048,7973;97436
1049,9072
1050,86953;72370
1051,95722;19533
1052,92895;78854
1053,77479;60461;6224
1054,81199;20928
1055,98705;48038;89940
1056,10703;40104
1057,68069;83409
1058,52805;49995
1059,75781;59249;14449;49182
1060,55701
1061,33698
1062,58335
1063,79888;21034
1064,74214;58795
1065,15659;94798
1066,93780
1067,41606;78549
1068,23758;58756;96500;37141;49958;23253
1069,45142
1070,24274;8607;30233;38579
1071,41834;44376;18296;78524;46360
1072,73333;1275
1073,5716;76932;69348;31695
1074,67217;21050;46878;84697
1075,12099;70676
1076,10108;60398
1077,41031
1078,93458
1079,12158;42540;68558
1080,8325;6299
1081,98592
1082,60083
1083,52296;48480
1084,78490
1085,36061;65969
1086,56246
1087,26236
1088,37389
1089,56543;98382
1090,73886;71453
1091,14009;42494;28278;56337;95199
1092,12056;45891
1093,53903
1094,84506
1095,82143
1096,68458;64315
1097,23972
1098,7177
1099,48774
1100,88158
1101,70311;14954;85326
1102,26789;92427;99093;3742;84817
1103,14730;56673;35043
1104,30876
1105,11154;16680;35447
1106,37489
1107,28681
1108,59877
1109,38100;69372;79526
1110,22980
1111,48639
1112,9180
1113,94987;67583
1114,75985;80038
1115,61195;47844;9477;77810
1116,89677
1117,77779
1118,96282
1119,77044;36530
1120,7544;26851;47425;11434
1121,76276
1122,91274
1123,49793;55067
1124,13574
1125,30571
1126,44621
1127,36629;32404;35716
1128,16284
1129,2007;6780;98923
1130,26014;419
1131,35121;79383;48588
1132,10578;2094;27333;60802
1133,1236;72498
1134,4615;6524;99142;38988
1135,636;58214;42473
1136,34862;91928
1137,47759;83403
1138,7700;69800;8447;83762;46794;10847
1139,22006;22662
1140,77087;75563
1141,96449;98309;63654;16449
1142,13253;49755;58706
1143,25780;94550
1144,12424
1145,35458;57113;20987;58306
1146,11021;45780
1147,43587;79709;27454
1148,39001;4118
1149,48788
1150,42603;73702
1151,47210
1152,92861;15127
1153,84201;45596
1154,20333
1155,91466
1156,88063;7373;62611
1157,53392;98458;31479;35024;98165
1158,22348
1159,53804
1160,4502;91866
1161,10762
1162,35639;84532;18097;71534
1163,4602;2656;10037;25957
1164,98147;60497
1165,73113
1166,90189
1167,29531;1576;75395
1168,57948
1169,96966
1170,83113
1171,13747;71805
1172,26098;30738;22608
1173,21092
1174,67412
1175,40821;77757;87112
1176,35972;18824;76715;70517
1177,4402;93040;47956
1178,25553
1179,35744;44499;47127
1180,67798
1181,2295
1182,20881;71500;52265
1183,26602;29299;48797
1184,78018
1185,85840;4302;92723;24973;14606
1186,43892;73361;47856;57639;85703
1187,89540;32034;74900
1188,75663;61185
1189,85340
1190,95183
1191,32944
1192,71033;57745;69163
1193,38541
1194,56330
1195,84506;46298;13345
1196,81652
1197,69989
1198,75541;61309;65066;65273
1199,21587;15720;69440
1200,75182;44527
1201,87414;15782
1202,13425
1203,43884
1204,68856
1205,38578
1206,80557
1207,57051;56913;60476;37877;34971;39157
1208,44966
1209,79219;6563
1210,22943
1211,42100
1212,83741
1213,51827
1214,83396
1215,80872
1216,22633
1217,24051
1218,36017;70132
1219,20626
1220,55562
1221,23445
1222,25109;35428
1223,80305;34667
1224,71004
1225,62995;45746
1226,1630;78346
1227,74311
1228,88154;21241
1229,3396;80324
1230,38288;14124
1231,47725
1232,73601;92394
1233,99241
1234,64769
1235,58974;65040;89090
1236,37554
1237,62404;30527
1238,1818
1239,3456
1240,47035
1241,17769;7281;47220
1242,2084;24637;82664;8154;92211
1243,85138
1244,19354
1245,47048;46371;97025
1246,23786
1247,23630
1248,55310
1249,60795
1250,84343;10749;78977;59966
1251,83139;21060;41815;75547
1252,74131;56277
1253,98450
1254,81854;18259
1255,33922;51805;59766
1256,34901
1257,23804
1258,35230
1259,83840;52176;11860
1260,81936;21211
1261,34305;33154;54837;90874;89713
1262,3214
1263,58689
1264,40005
1265,11392;15565
1266,78045
1267,97151
1268,16199;80358
1269,38374;73454
1270,42357
1271,3861;97414
1272,95423;47673;66368
1273,79860;37654
1274,13562;8849;3118
1275,88225;63297
1276,51691
1277,63226;6997;20779
1278,85175;68197;83169
1279,81404;9488;47048;11192;6738
1280,29174;34813;77707
1281,57962;2658;50178;50890
1282,4107
1283,49749
1284,41828;75215
1285,38859;82802;49866
1286,94392;57524;65088;83035
1287,14877;27301;84188
1288,26466
1289,19158;32685;50456;68222;4550
1290,61660;68284;34419
1291,9340;71779;37469
1292,28392;93304;14040
1293,64580;79672;878
1294,40100
1295,25789
1296,63406
1297,15719;75141
1298,74840
1299,51785
1300,91123
1301,44283;26711;32785
1302,74322;61726
1303,13826;90207;66739;54838
1304,68739;84234
1305,79909;88811
1306,33496;79251
1307,26505
1308,63282
1309,64682
1310,3359
1311,92105
1312,40886;4132;6653
1313,86384
1314,34617
1315,3465;94201
1316,61975;54353;98303
1317,74265
1318,40194
1319,17173
1320,95246;65822;89172
1321,92886;25999;86553;89833
1322,43056
1323,27200;17636;49705
1324,23966
1325,92977;75022
1326,41853
1327,17152
1328,76595
1329,4247;98679;19801;38499
1330,72759;64121
1331,9183
1332,23662;62685
1333,18696
1334,41439;92400;3417;13009
1335,98807
1336,81990
1337,54985
1338,92215
1339,56108;43468
1340,27671
1341,15644
1342,95756;81943
1343,56783;4803;14071;68089
1344,60416
1345,72363
1346,66588
1347,80447
1348,32019;34544
1349,37465
1350,13475;55393
1351,70568;15044
1352,95458
1353,46758;7541;18126
1354,15088
1355,35645;33537
1356,31887
1357,97904;2374
1358,72380;53936;78465;15848;48514
1359,20494
1360,14979;98609;48114
1361,80292
1362,27725
1363,63623;13670;23998;88458;54082
1364,49053
1365,16287
1366,11111
1367,91397
1368,63079
1369,42450
1370,1760
1371,76845
1372,63641;96009;35670;94834;22849;66103
1373,93565
1374,59270;7775
1375,75560
1376,88225
1377,62395;8100;21109;93732
1378,9439;34511;90341
1379,92029
1380,18064
1381,55872
1382,57040
1383,16615;78382
1384,61762
1385,22624
1386,89489;2457;53434
1387,23711
1388,46903
1389,44121
1390,23891
1391,80166
1392,60252;14046
1393,26049
1394,87174;80528
1395,96814
1396,6454;58015;18527
1397,53519
1398,50847
1399,52920;35446
1400,76860
1401,41982;70722
1402,54314;55882;79356
1403,96974
1404,87436
1405,4704;2710
1406,10307
1407,32142
1408,41103
1409,24802;56231;92462;68152
1410,15103
1411,46946;30053
1412,14547
1413,92424;42514;31597
1414,98842
1415,59966;43600;29149;22177
1416,49215
1417,73663
1418,1023;35941
1419,97482
1420,90995
1421,56569
1422,68183;40259
1423,32104;51331
1424,41788;14364;60664;15683
1425,42588
1426,28057
1427,63972
1428,90291
1429,25813
1430,63980;95747;15968
1431,40423
1432,33099;63623;20161;7523;10515;78720
1433,88514
1434,91828
1435,57149
1436,61132
1437,28158
1438,44607;61365
1439,14853
1440,12524;61298
1441,8376
1442,51354
1443,98348
1444,75110;89562
1445,7646;98972
1446,50457
1447,35643
1448,59581
1449,92902
1450,1196;11458
1451,21177;65990
1452,29579
1453,27190
1454,68956;76762;67589;78401;97839
1455,95189;27829;30570;67529;25224;37446
1456,43085;7050;88626;90190
1457,55655;65651
1458,7066
1459,93845
1460,73516;74264
1461,50237
1462,66327;77257
1463,99603
1464,50094;93770;91482
1465,25286
1466,71953
1467,94419
1468,26265;39806;63034;97680
1469,35143;3397
1470,26775
1471,93474;32239;63611
1472,56197
1473,67648
1474,32475
1475,11823
1476,3260;12692;83796
1477,49770;95087;41950
1478,49156
1479,46404
1480,12703
1481,21089
1482,69444
1483,95140;35301;7202
1484,55702;84361
1485,66491
1486,71174;38576;48069;25042;97325
1487,79180
1488,73681;15978
1489,58154
1490,39678
1491,13089
1492,39702
1493,72005
1494,67678
1495,93676
1496,41672
1497,94978
1498,42798
1499,22111
1500,29930
1501,36135
1502,39213
1503,56103
1504,83850;55667
1505,63983
1506,86535;94411;74080
1507,48099
1508,35367;77281;4973;60560;77391;7842
1509,13420;14714
1510,77963
1511,79428
1512,36219;77561;87289
1513,29316
1514,93877;31634;26951
1515,79093
1516,6502;97114
1517,77331
1518,3326
1519,97627;99283;99956
1520,51113
1521,80080;36838
1522,47494;54857
1523,29207
1524,69169
1525,41392
1526,60422;7546;52096;18077;77858
1527,57867
1528,4595;15793;77992;12383
1529,71118
1530,55555
1531,69215;6785;18752;38854
1532,74016
1533,7668;15372
1534,19636
1535,42973
1536,75961
1537,92906
1538,93676;28621
1539,98055;47937
1540,97548;95104;28716;13139;68546
1541,75209;43029
1542,56636
1543,50486
1544,24406
1545,42846
1546,86399
1547,45746
1548,57120
1549,38167;68544
1550,77161
1551,91578;39345;90623;68363
1552,75858;10412
1553,70409;7316
1554,84062;16328;99465
1555,18072;8233
1556,23294
1557,60659;88662;5179
1558,57191;76388;58821
1559,86448
1560,73173
1561,55977
1562,2310
1563,98555
1564,6801
1565,28189
1566,8259;71839
1567,69479
1568,31991
1569,15000;63116;14452
1570,36388
1571,23530
1572,46413
1573,99200;71928
1574,58149;415;61335
1575,52409
1576,30960
1577,77342;37677
1578,93568;1177;77783;36831
1579,40993
1580,66336;86077
